标题,总价(万),单价(元/平),户型,面积(平),朝向,楼层,年份,小区,区域,链接
南庭新苑北区 东向一居室  有房本 看房方便,130,"25,784元/平",1室1厅,50.42平米,东,15层,2012年,南庭新苑北区,新宫,https://bj.lianjia.com/ershoufang/101134004285.html
首付50万以内就够 ，H户型，视野好，采光佳，诚心,285,"31,182元/平",2室1厅,91.4平米,东 西,高楼层(共28层),2009年,新通国际花园,梨园,https://bj.lianjia.com/ershoufang/101133002812.html
雅善园 南向两居室 业主诚心出售,108,"13,438元/平",2室1厅,80.37平米,南,高楼层(共15层),板楼,雅善园,南中轴机场商务区,https://bj.lianjia.com/ershoufang/101133206464.html
崔村二里双卧朝南两居中间楼层上下楼方便,99,"19,344元/平",2室1厅,51.18平米,南,中楼层(共5层),板楼,崔村二里,杜家坎,https://bj.lianjia.com/ershoufang/101134121052.html
朝阳公园西里北区 3室1厅 南 北,360,"48,323元/平",3室1厅,74.5平米,南 北,高楼层(共6层),1993年,朝阳公园西里北区,农展馆,https://bj.lianjia.com/ershoufang/101131390795.html
,,,,,,,,,,
京品小区 地铁8号线 南北通透 户型好 无浪费,385,"45,215元/平",2室1厅,85.15平米,南 北,6层,2005年,京品小区,西罗园,https://bj.lianjia.com/ershoufang/101132761626.html
龙湖滟澜新宸东区 3室1厅 南 北,298,"31,428元/平",3室1厅,94.82平米,南 北,高楼层(共13层),板楼,龙湖滟澜新宸东区,沙河,https://bj.lianjia.com/ershoufang/101124995140.html
世纪城总价特低一居室 户型方正 有钥匙 不临街安静,415,"65,957元/平",1室1厅,62.92平米,东南,底层(共11层),2003年,烟树园,世纪城,https://bj.lianjia.com/ershoufang/101133085784.html
西城区 二环 16号线 08年小区 考拉社区,299,"66,268元/平",1室1厅,45.12平米,西,低楼层(共21层),塔楼,信德园二期（考拉社区）,菜户营,https://bj.lianjia.com/ershoufang/101129789509.html
禾香雅园二期三居双卫大三居全明格局好楼层看房方便,299,"26,538元/平",3室1厅,112.67平米,南 北,高楼层(共11层),板楼,禾香雅园二期,长阳,https://bj.lianjia.com/ershoufang/101131061508.html
精装修采光好中间位置，看房方便，小区安静,309,"52,021元/平",2室1厅,59.4平米,南 北,高楼层(共6层),板楼,竹园,马连洼,https://bj.lianjia.com/ershoufang/101129485557.html
首座御园一区二期 3室2厅 西南,278,"23,540元/平",3室2厅,118.1平米,西南,顶层(共12层),2015年,首座御园一区二期,枣园,https://bj.lianjia.com/ershoufang/101133746206.html
金兴苑 2室1厅 西 北,230,"38,598元/平",2室1厅,59.59平米,西 北,30层,2006年,金兴苑,菜户营,https://bj.lianjia.com/ershoufang/101133761882.html
长桥园公寓 经典南北向三居 房子交通便利 购物方便,333,"28,199元/平",3室1厅,118.09平米,南 北,中楼层(共12层),2002年,长桥园公寓,通州北苑,https://bj.lianjia.com/ershoufang/101132993614.html
华龙小区 3室1厅 南 北,218,"22,554元/平",3室1厅,96.66平米,南 北,中楼层(共6层),1998年,华龙小区,潞苑,https://bj.lianjia.com/ershoufang/101131556938.html
光织谷东区 南北通透 客户通阳台 看房随时,200,"21,766元/平",2室1厅,91.89平米,南 北,中楼层(共7层),2013年,世嘉光织谷东区,怀柔,https://bj.lianjia.com/ershoufang/101134133882.html
世嘉光织谷西区 眼睛户型两居室,190,"20,041元/平",2室1厅,94.81平米,南,中楼层(共5层),2012年,世嘉光织谷西区,怀柔,https://bj.lianjia.com/ershoufang/101131762322.html
富力尚悦居D区  两年精装修 南向,129,"23,077元/平",1室1厅,55.9平米,南,低楼层(共18层),2015年,富力尚悦居D区,通州其它,https://bj.lianjia.com/ershoufang/101133364349.html
鸿顺园东区两居室，采光充足，视野开阔，南北通透,195,"22,233元/平",2室1厅,87.71平米,南 北,中楼层(共15层),2011年,鸿顺园东区,良乡,https://bj.lianjia.com/ershoufang/101134012806.html
东方太阳城顶层大三居，高尔夫景观,450,"25,525元/平",3室2厅,176.3平米,南 北,顶层(共6层),2010年,东方太阳城,顺义其它,https://bj.lianjia.com/ershoufang/101133344776.html
满五唯一商品房 南北通透户型 中间楼层 诚心卖,193,"25,432元/平",2室1厅,75.89平米,南 北,中楼层(共28层),2014年,华远铭悦园,临河里,https://bj.lianjia.com/ershoufang/101133074576.html
珠江国际城八区 精装修满五年唯一 拎包入住,649,"52,812元/平",3室2厅,122.89平米,南 北,底层(共8层),板楼,珠江国际城八区,潞苑,https://bj.lianjia.com/ershoufang/101133495007.html
小高层三居室 友谊医院附近 中间层采光好 电梯洋房,245,"26,062元/平",3室1厅,94.01平米,东 西,中楼层(共10层),2013年,珠江丽景家园,潞苑,https://bj.lianjia.com/ershoufang/101134022169.html
强佑清河新城府学上院 1室0厅 南,270,"57,472元/平",1室0厅,46.98平米,南,低楼层(共14层),2021年,强佑清河新城府学上院,清河,https://bj.lianjia.com/ershoufang/101128927088.html
北河沿大街一居出售好户型靠近南锣鼓巷,325,"76,688元/平",1室1厅,42.38平米,南,顶层(共4层),板楼,北河沿大街,灯市口,https://bj.lianjia.com/ershoufang/101133166902.html
中关村科育小区三居 满五唯一央产房 不占用,820,"96,030元/平",3室1厅,85.39平米,南 北,顶层(共4层),板楼,科育小区,中关村,https://bj.lianjia.com/ershoufang/101133358105.html
加州水郡二期 3室2厅 南 北,279,"19,878元/平",3室2厅,140.36平米,南 北,9层,2006年,加州水郡二期,长阳,https://bj.lianjia.com/ershoufang/101134074389.html
满五商品房，南北通透格局，次顶层有电梯,329,"27,509元/平",3室2厅,119.6平米,南 北,高楼层(共6层),板楼,绿丰家园,豆各庄,https://bj.lianjia.com/ershoufang/101133376319.html
DBC加州小镇 1室1厅 南,165,"28,071元/平",1室1厅,58.78平米,南,顶层(共11层),2005年,DBC加州小镇,临河里,https://bj.lianjia.com/ershoufang/101132674247.html
朝阳区垡头低价三居，看房随时方便，有钥匙,226,"23,285元/平",3室1厅,97.06平米,南 北,低楼层(共24层),2014年,翠成馨园D区,垡头,https://bj.lianjia.com/ershoufang/101133174883.html
北街家园六区 3室1厅 东西 2016年商品房,216,"24,644元/平",3室1厅,87.65平米,东 西,高楼层(共18层),2016年,北街家园六区,沙河,https://bj.lianjia.com/ershoufang/101132973887.html
小街之春 1室1厅 南,140,"25,907元/平",1室1厅,54.04平米,南,中楼层(共6层),2005年,小街之春,临河里,https://bj.lianjia.com/ershoufang/101133431058.html
华亭嘉园观景三居室户型方正无浪费看房方便,998,"62,998元/平",3室2厅,158.42平米,东南,32层,2000年,华亭嘉园,健翔桥,https://bj.lianjia.com/ershoufang/101133221138.html
高家园五区 2室1厅 南 北,255,"43,192元/平",2室1厅,59.04平米,南 北,高楼层(共6层),1994年,高家园五区,酒仙桥,https://bj.lianjia.com/ershoufang/101132530548.html
蓝星花园 1室0厅 西,122,"24,528元/平",1室0厅,49.74平米,西,高楼层(共11层),2006年,蓝星花园,后沙峪,https://bj.lianjia.com/ershoufang/101133834973.html
碧桂园小区二区 满五唯一，采光好，户型方正,165,"15,970元/平",3室1厅,103.32平米,南 北,高楼层(共6层),2004年,碧桂园小区二区,长阳,https://bj.lianjia.com/ershoufang/101130063695.html
安静的融科二期，次顶层，视野开阔，难得的户型，急售,790,"77,451元/平",2室1厅,102平米,东南,高楼层(共28层),2007年,融科橄榄城二期,望京,https://bj.lianjia.com/ershoufang/101133436357.html
育新花园中里 南北通透 好楼层,100,"11,732元/平",2室2厅,85.24平米,南 北,中楼层(共15层),板楼,育新花园中里,大兴新机场洋房别墅区,https://bj.lianjia.com/ershoufang/101131125739.html
原香小镇一区，满5精装，中层中间位置,205,"23,267元/平",2室1厅,88.11平米,南 北,中楼层(共10层),2010年,原香小镇一区,长阳,https://bj.lianjia.com/ershoufang/101132438287.html
信和嘉园  全明东南两居室   精装修 满五唯一,950,"106,276元/平",2室1厅,89.39平米,东南,高楼层(共18层),板楼,信和嘉园,马连道,https://bj.lianjia.com/ershoufang/101133451525.html
公园边 采光好  交通出行便利 没有抵押,185,"49,893元/平",1室1厅,37.08平米,东 西南,底层(共20层),1985年,外馆东街50号院,安定门,https://bj.lianjia.com/ershoufang/101133620933.html
首开国风美唐二期 1室1厅 东,279,"46,124元/平",1室1厅,60.49平米,东,18层,2014年,首开国风美唐二期,回龙观,https://bj.lianjia.com/ershoufang/101132991102.html
蓝星公寓 二环平层四居 电梯板楼 公园环绕 位置好,2280,"173,675元/平",4室1厅,131.28平米,南 西 北,高楼层(共6层),板楼,蓝星公寓,六铺炕,https://bj.lianjia.com/ershoufang/101131676000.html
紫金新干线四区电梯房两居室,220,"30,556元/平",2室1厅,72平米,南,底层(共18层),2018年,紫金新干线四区,霍营,https://bj.lianjia.com/ershoufang/101133734086.html
西山艺境 电梯联排 简单装修未居住 随时可看,990,"27,513元/平",5室3厅,359.83平米,南 北,3层,板楼,西山艺境华墅,大峪,https://bj.lianjia.com/ershoufang/101130637758.html
樱花苑 1室2厅 南,206,"36,185元/平",1室2厅,56.93平米,南,中楼层(共28层),2019年,樱花苑,古城,https://bj.lianjia.com/ershoufang/101132526969.html
首创新悦都一区 全明格局，精装修 有钥匙，领包入住,258,"29,189元/平",3室1厅,88.39平米,南 北 西,中楼层(共17层),板楼,首创新悦都一区,长阳,https://bj.lianjia.com/ershoufang/101134076393.html
团结湖路 2室1厅 南 北,264,"54,546元/平",2室1厅,48.4平米,南 北,中楼层(共5层),板楼,团结湖路,团结湖,https://bj.lianjia.com/ershoufang/101133363585.html
金福家园 商品房 高楼层无遮挡 东南  6号线传媒,199,"32,443元/平",1室1厅,61.34平米,东南,高楼层(共18层),2000年,金福家园,定福庄,https://bj.lianjia.com/ershoufang/101134239300.html
于家园二区南院    大两居室  看房子有钥匙,130,"17,741元/平",2室1厅,73.28平米,南 北,中楼层(共6层),1998年,于家园二区南院,怀柔,https://bj.lianjia.com/ershoufang/101124296948.html
京奥港枫泉花园   精装修 明厨明卫  次新房,193,"25,879元/平",2室1厅,74.58平米,南 北,低楼层(共16层),2017年,京奥港枫泉花园,中央别墅区,https://bj.lianjia.com/ershoufang/101134237140.html
绿地·京西景园 1室1厅 南,95,"18,646元/平",1室1厅,50.95平米,南,中楼层(共28层),2017年,绿地·京西景园,五里坨,https://bj.lianjia.com/ershoufang/101131222424.html
民族大学西路60号院 精装修两居 可以拎包入住,699,"85,006元/平",2室1厅,82.23平米,西南,高楼层(共18层),板塔结合,民族大学西路60号院,魏公村,https://bj.lianjia.com/ershoufang/101133057242.html
六场宿舍 满五年唯一 南北通透 小区改造过,188,"30,911元/平",2室1厅,60.82平米,北 南,高楼层(共6层),1984年,六场宿舍,鲁谷,https://bj.lianjia.com/ershoufang/101134352470.html
知本时代 海淀产权带电梯 落地窗,195,"47,631元/平",1室1厅,40.94平米,北,高楼层(共18层),2004年,知本时代,西三旗,https://bj.lianjia.com/ershoufang/101132939429.html
通透，精装修，拎包即住，管理好,868,"72,966元/平",2室2厅,118.96平米,南 北,顶层(共12层),2003年,怡景园,朝阳门外,https://bj.lianjia.com/ershoufang/101132357700.html
满五唯一带电梯的两居室，不临街不遮挡,439,"61,459元/平",2室1厅,71.43平米,东南,低楼层(共16层),1988年,樱花园,惠新西街,https://bj.lianjia.com/ershoufang/101134198350.html
菜园北里 2室2厅 东 西,348,"71,901元/平",2室2厅,48.4平米,东 西,中楼层(共5层),1980年,菜园北里,牛街,https://bj.lianjia.com/ershoufang/101127833252.html
京旺家园一居室，看房随时，诚意出售,160,"26,824元/平",1室1厅,59.65平米,南,底层(共11层),板楼,京旺家园,中央别墅区,https://bj.lianjia.com/ershoufang/101127148389.html
老旧小区精装好房！近地铁16号线，海淀客群优选。,200,"36,887元/平",2室1厅,54.22平米,南 北,中楼层(共6层),板楼,南开西里,看丹桥,https://bj.lianjia.com/ershoufang/101130891689.html
京投银泰万科西华府 精装修南北三居室 高楼层,640,"56,254元/平",3室2厅,113.77平米,南 北,高楼层(共26层),2017年,京投银泰万科西华府,科技园区,https://bj.lianjia.com/ershoufang/101130034408.html
小街之春 1室1厅 南,140,"25,907元/平",1室1厅,54.04平米,南,中楼层(共6层),2005年,小街之春,临河里,https://bj.lianjia.com/ershoufang/101133431058.html
富乐社区一号院,135,"22,561元/平",2室2厅,59.84平米,南 北,中楼层(共6层),板楼,富乐社区一号院,怀柔,https://bj.lianjia.com/ershoufang/101134193688.html
房山城关中冶蓝城东区+三居室+南北通透,118,"12,094元/平",3室1厅,97.57平米,南 北,高楼层(共6层),2015年,中冶蓝城东区,城关,https://bj.lianjia.com/ershoufang/101117631551.html
北街家园六区 3室1厅 东西 2016年商品房,216,"24,644元/平",3室1厅,87.65平米,东 西,高楼层(共18层),2016年,北街家园六区,沙河,https://bj.lianjia.com/ershoufang/101132973887.html
华亭嘉园观景三居室户型方正无浪费看房方便,998,"62,998元/平",3室2厅,158.42平米,东南,32层,2000年,华亭嘉园,健翔桥,https://bj.lianjia.com/ershoufang/101133221138.html
育新花园北里 2室2厅 南 北,93,"11,715元/平",2室2厅,79.39平米,南 北,低楼层(共18层),2014年,育新花园北里,大兴新机场洋房别墅区,https://bj.lianjia.com/ershoufang/101131915380.html
稻香园 南北通透全明两居室 满五唯一,490,"82,506元/平",2室1厅,59.39平米,南 北,中楼层(共6层),板楼,稻香园,苏州桥,https://bj.lianjia.com/ershoufang/101133940828.html
裕中东里 林业局管理 满五唯一 诚意出售,580,"163,381元/平",1室1厅,35.5平米,北,中楼层(共6层),板楼,裕中东里,马甸,https://bj.lianjia.com/ershoufang/101134245513.html
199万 地铁5/15号线 满五唯一 价格可谈,195,"36,045元/平",2室1厅,54.1平米,东,中楼层(共6层),板楼,蒲黄榆路,蒲黄榆,https://bj.lianjia.com/ershoufang/101133983468.html
70年产权loft，单层面积38.93.高层无遮挡,330,"84,768元/平",1室2厅,38.93平米,东,中楼层(共16层),2007年,天鹅湾北区,朝青,https://bj.lianjia.com/ershoufang/101133960914.html
一层带商补协议南北通透两居室，客厅可以直接出去,285,"32,684元/平",2室1厅,87.2平米,南 北,底层(共7层),2001年,天通苑东一区,天通苑,https://bj.lianjia.com/ershoufang/101133583459.html
华瀚福园D区 1室1厅 南,145,"27,159元/平",1室1厅,53.39平米,南,中楼层(共18层),板楼,华瀚福园D区,东坝,https://bj.lianjia.com/ershoufang/101128157199.html
四环边 2015年小区 电梯房 交通方便 配套齐全,399,"41,352元/平",2室1厅,96.49平米,南 北,中楼层(共20层),2014年,四合欣园,科技园区,https://bj.lianjia.com/ershoufang/101127867399.html
橡树湾一期  满五唯一 位置安静 采光充足 诚意卖,798,"90,007元/平",2室1厅,88.66平米,西南,中楼层(共16层),2007年,橡树湾一期,清河,https://bj.lianjia.com/ershoufang/101131816671.html
新源西里中街  带电梯两居  满五年,268,"45,680元/平",2室1厅,58.67平米,东,中楼层(共22层),塔楼,新源西里中街,东直门,https://bj.lianjia.com/ershoufang/101133965075.html
金汉绿港纯南两居室，满五年唯一，中高楼层，不临街,259,"29,706元/平",2室1厅,87.19平米,南,20层,2013年,金汉绿港五区,顺义城,https://bj.lianjia.com/ershoufang/101133748794.html
红山郡 3室1厅 南 北,237,"27,349元/平",3室1厅,86.66平米,南 北,高楼层(共18层),2017年,红山郡,丰台其它,https://bj.lianjia.com/ershoufang/101134052098.html
翠屏里 2室1厅 南 北,206,"32,554元/平",2室1厅,63.28平米,南 北,底层(共7层),板楼,翠屏里,九棵树(家乐福),https://bj.lianjia.com/ershoufang/101134111053.html
新潮嘉园一期 2室1厅 南 北,188,"26,789元/平",2室1厅,70.18平米,南 北,中楼层(共6层),2003年,新潮嘉园一期,潞苑,https://bj.lianjia.com/ershoufang/101132492050.html
顺鑫澜庭装修好房 随时看 随时签约,128,"14,884元/平",2室1厅,86平米,南 北,中楼层(共6层),2007年,顺鑫澜庭,杨镇,https://bj.lianjia.com/ershoufang/101134257141.html
加州水郡四期，正规一居，全明格局，户型方正。,125,"21,234元/平",1室1厅,58.87平米,东 北,中楼层(共11层),2011年,加州水郡四期,长阳,https://bj.lianjia.com/ershoufang/101134224809.html
满五年 电梯入户 精装修，看房方便诚心出售,229,"30,006元/平",2室2厅,76.32平米,西 北,中楼层(共14层),2018年,翡翠公园一期,北七家,https://bj.lianjia.com/ershoufang/101133456146.html
石园西区，南北通透户型，主卧室带阳台，全明户型,110,"19,778元/平",2室1厅,55.62平米,南 北,高楼层(共6层),1990年,石园西区,顺义城,https://bj.lianjia.com/ershoufang/101133630178.html
富力城D区龙吟半岛3+1全明格局南北前后看花园,1388,"85,569元/平",3室1厅,162.21平米,南 北,中楼层(共16层),2005年,富力城D区,双井,https://bj.lianjia.com/ershoufang/101134023450.html
立水桥双地铁换乘，临近龙德广场购物中心，万优汇商场,389,"37,211元/平",2室2厅,104.54平米,东南,顶层(共18层),板塔结合,正辰小区,立水桥,https://bj.lianjia.com/ershoufang/101132683175.html
新华街五里 2室1厅 西南,260,"42,140元/平",2室1厅,61.7平米,西南,低楼层(共24层),1997年,新华街五里,看丹桥,https://bj.lianjia.com/ershoufang/101133588042.html
惠景新苑，电梯房，精装修，诚心出售，适合自主,59,"8,151元/平",2室1厅,72.39平米,南,低楼层(共22层),2017年,惠景新苑,房山其它,https://bj.lianjia.com/ershoufang/101134042910.html
潘家园南里 正规一居室 明厨明卫 采光无遮挡随时看,199,"44,144元/平",1室1厅,45.08平米,南,底层(共6层),1994年,潘家园南里,潘家园,https://bj.lianjia.com/ershoufang/101132993194.html
70年产权商品房精装拎包入住好位置观别墅看水系花园,215,"46,669元/平",2室1厅,46.07平米,南 北,中楼层(共16层),2013年,首邑溪谷,高米店,https://bj.lianjia.com/ershoufang/101129343742.html
