城市,区域,标题,总价(万),单价(元/平),户型,面积(平),朝向,装修,楼层,年份,小区,链接
bj,全市,南竺园 2室1厅 南 北,155,"20,848元/平",2室1厅,74.35平米,南 北,其他,中楼层(共6层),1995年,南竺园,https://bj.lianjia.com/ershoufang/101131089695.html
bj,全市,首付50万以内就够 ，H户型，视野好，采光佳，诚心,285,"31,182元/平",2室1厅,91.4平米,东 西,简装,高楼层(共28层),2009年,新通国际花园,https://bj.lianjia.com/ershoufang/101133002812.html
bj,全市,南庭新苑北区 东向一居室  有房本 看房方便,130,"25,784元/平",1室1厅,50.42平米,东,简装,15层,2012年,南庭新苑北区,https://bj.lianjia.com/ershoufang/101134004285.html
bj,全市,高家园五区 2室1厅 南 北,255,"43,192元/平",2室1厅,59.04平米,南 北,精装,高楼层(共6层),1994年,高家园五区,https://bj.lianjia.com/ershoufang/101132530548.html
bj,全市,此房满五唯一商品房，一层，南北通透，不临街,305,"73,406元/平",1室1厅,41.55平米,南 北,其他,底层(共9层),板楼,慧忠北里第二社区,https://bj.lianjia.com/ershoufang/101134074081.html
bj,全市,蓝星花园 1室0厅 西,122,"24,528元/平",1室0厅,49.74平米,西,其他,高楼层(共11层),2006年,蓝星花园,https://bj.lianjia.com/ershoufang/101133834973.html
bj,全市,碧桂园小区二区 满五唯一，采光好，户型方正,165,"15,970元/平",3室1厅,103.32平米,南 北,简装,高楼层(共6层),2004年,碧桂园小区二区,https://bj.lianjia.com/ershoufang/101130063695.html
bj,全市,北礼士路北区 2室1厅 东,460,"90,730元/平",2室1厅,50.7平米,东,精装,中楼层(共16层),板塔结合,北礼士路北区,https://bj.lianjia.com/ershoufang/101133618308.html
bj,全市,鹿港嘉苑 3室2厅 南 北,980,"61,791元/平",3室2厅,158.6平米,南 北,精装,低楼层(共22层),2007年,鹿港嘉苑,https://bj.lianjia.com/ershoufang/101132496055.html
bj,全市,南竺园 2室1厅 南 北,137,"22,983元/平",2室1厅,59.61平米,南 北,简装,底层(共6层),1994年,南竺园,https://bj.lianjia.com/ershoufang/101133416295.html
bj,全市,随时签约 双卧朝南 采光无遮挡视野好 随时看房,709,"126,157元/平",2室1厅,56.2平米,东南,精装,中楼层(共6层),板楼,裕中东里,https://bj.lianjia.com/ershoufang/101132354102.html
bj,全市,怀柔 科学城 顶秀美泉小镇B区 电梯 两居室 精装,228,"25,656元/平",2室1厅,88.87平米,南 北,精装,中楼层(共5层),2015年,顶秀美泉小镇B区,https://bj.lianjia.com/ershoufang/101133160259.html
bj,全市,此房满五年，南向，视野宽阔 业主诚心出售 看房方便,220,"62,804元/平",1室1厅,35.03平米,南,简装,高楼层(共6层),板楼,学院南路32号院,https://bj.lianjia.com/ershoufang/101129051158.html
bj,全市,韩家胡同 1室0厅 东,128,"128,000元/平",1室0厅,10平米,东,精装,底层(共1层),1980年,韩家胡同,https://bj.lianjia.com/ershoufang/101134352867.html
bj,全市,新光大中心 1室1厅 北,99,"22,843元/平",1室1厅,43.34平米,北,精装,中楼层(共29层),2016年,新光大中心,https://bj.lianjia.com/ershoufang/101134209127.html
bj,全市,育新花园北里 2室2厅 南 北,93,"11,715元/平",2室2厅,79.39平米,南 北,其他,低楼层(共18层),2014年,育新花园北里,https://bj.lianjia.com/ershoufang/101131915380.html
bj,全市,东城区，有电梯，安德路乙61号院,426,"91,831元/平",2室1厅,46.39平米,东,精装,中楼层(共14层),塔楼,安德路乙61号院,https://bj.lianjia.com/ershoufang/101131780663.html
bj,全市,华亭嘉园观景三居室户型方正无浪费看房方便,998,"62,998元/平",3室2厅,158.42平米,东南,简装,32层,2000年,华亭嘉园,https://bj.lianjia.com/ershoufang/101133221138.html
bj,全市,小街之春 1室1厅 南,140,"25,907元/平",1室1厅,54.04平米,南,简装,中楼层(共6层),2005年,小街之春,https://bj.lianjia.com/ershoufang/101133431058.html
bj,全市,京投银泰万科西华府 精装修南北三居室 高楼层,640,"56,254元/平",3室2厅,113.77平米,南 北,精装,高楼层(共26层),2017年,京投银泰万科西华府,https://bj.lianjia.com/ershoufang/101130034408.html
bj,全市,房山城关中冶蓝城东区+三居室+南北通透,118,"12,094元/平",3室1厅,97.57平米,南 北,其他,高楼层(共6层),2015年,中冶蓝城东区,https://bj.lianjia.com/ershoufang/101117631551.html
bj,全市,北街家园六区 3室1厅 东西 2016年商品房,216,"24,644元/平",3室1厅,87.65平米,东 西,简装,高楼层(共18层),2016年,北街家园六区,https://bj.lianjia.com/ershoufang/101132973887.html
bj,全市,富乐社区一号院,135,"22,561元/平",2室2厅,59.84平米,南 北,简装,中楼层(共6层),板楼,富乐社区一号院,https://bj.lianjia.com/ershoufang/101134193688.html
bj,全市,北河沿大街2居出售好户型靠近南锣鼓巷,445,"79,907元/平",2室1厅,55.69平米,南 北,简装,中楼层(共5层),板楼,北河沿大街,https://bj.lianjia.com/ershoufang/101133166845.html
bj,全市,板桥南街7号院 正规一居室 不临街 视野好,82,"14,558元/平",1室1厅,56.33平米,南,其他,高楼层(共15层),2015年,板桥南街7号院,https://bj.lianjia.com/ershoufang/101132717971.html
bj,全市,紧挨奥森公园，东南三居，阳光视野不错，三条地铁通勤,598,"61,102元/平",3室1厅,97.87平米,东南,简装,中楼层(共24层),塔楼,慧忠北里,https://bj.lianjia.com/ershoufang/101132144403.html
bj,全市,看房联系维护人！双阳台 独门独院 24小时安保。,237,"42,974元/平",2室1厅,55.15平米,西 东,精装,高楼层(共6层),板楼,八里庄北里小区,https://bj.lianjia.com/ershoufang/101132142213.html
bj,全市,房子东西通透，满五唯一 中间楼层，楼下就是地铁站！,270,"45,779元/平",2室1厅,58.98平米,东 西,简装,高楼层(共6层),1993年,和平西街,https://bj.lianjia.com/ershoufang/101134334546.html
bj,全市,此房是满五年，没有遮挡，户型格局好，配套齐全。,245,"39,909元/平",2室1厅,61.39平米,东北,简装,低楼层(共17层),1990年,延静西里,https://bj.lianjia.com/ershoufang/101129766630.html
bj,全市,公园边 采光好  交通出行便利 没有抵押,185,"49,893元/平",1室1厅,37.08平米,东 西南,简装,底层(共20层),1985年,外馆东街50号院,https://bj.lianjia.com/ershoufang/101133620933.html
bj,全市,北街家园六区 3室1厅 东西 2016年商品房,216,"24,644元/平",3室1厅,87.65平米,东 西,简装,高楼层(共18层),2016年,北街家园六区,https://bj.lianjia.com/ershoufang/101132973887.html
bj,全市,小街之春 1室1厅 南,140,"25,907元/平",1室1厅,54.04平米,南,简装,中楼层(共6层),2005年,小街之春,https://bj.lianjia.com/ershoufang/101133431058.html
bj,全市,华亭嘉园观景三居室户型方正无浪费看房方便,998,"62,998元/平",3室2厅,158.42平米,东南,简装,32层,2000年,华亭嘉园,https://bj.lianjia.com/ershoufang/101133221138.html
bj,全市,高家园五区 2室1厅 南 北,255,"43,192元/平",2室1厅,59.04平米,南 北,精装,高楼层(共6层),1994年,高家园五区,https://bj.lianjia.com/ershoufang/101132530548.html
bj,全市,蓝星花园 1室0厅 西,122,"24,528元/平",1室0厅,49.74平米,西,其他,高楼层(共11层),2006年,蓝星花园,https://bj.lianjia.com/ershoufang/101133834973.html
bj,全市,碧桂园小区二区 满五唯一，采光好，户型方正,165,"15,970元/平",3室1厅,103.32平米,南 北,简装,高楼层(共6层),2004年,碧桂园小区二区,https://bj.lianjia.com/ershoufang/101130063695.html
bj,全市,安静的融科二期，次顶层，视野开阔，难得的户型，急售,790,"77,451元/平",2室1厅,102平米,东南,精装,高楼层(共28层),2007年,融科橄榄城二期,https://bj.lianjia.com/ershoufang/101133436357.html
bj,全市,育新花园中里 南北通透 好楼层,100,"11,732元/平",2室2厅,85.24平米,南 北,简装,中楼层(共15层),板楼,育新花园中里,https://bj.lianjia.com/ershoufang/101131125739.html
bj,全市,原香小镇一区，满5精装，中层中间位置,205,"23,267元/平",2室1厅,88.11平米,南 北,简装,中楼层(共10层),2010年,原香小镇一区,https://bj.lianjia.com/ershoufang/101132438287.html
bj,全市,信和嘉园  全明东南两居室   精装修 满五唯一,950,"106,276元/平",2室1厅,89.39平米,东南,精装,高楼层(共18层),板楼,信和嘉园,https://bj.lianjia.com/ershoufang/101133451525.html
bj,全市,公园边 采光好  交通出行便利 没有抵押,185,"49,893元/平",1室1厅,37.08平米,东 西南,简装,底层(共20层),1985年,外馆东街50号院,https://bj.lianjia.com/ershoufang/101133620933.html
bj,全市,首开国风美唐二期 1室1厅 东,279,"46,124元/平",1室1厅,60.49平米,东,简装,18层,2014年,首开国风美唐二期,https://bj.lianjia.com/ershoufang/101132991102.html
bj,全市,蓝星公寓 二环平层四居 电梯板楼 公园环绕 位置好,2280,"173,675元/平",4室1厅,131.28平米,南 西 北,简装,高楼层(共6层),板楼,蓝星公寓,https://bj.lianjia.com/ershoufang/101131676000.html
bj,全市,紫金新干线四区电梯房两居室,220,"30,556元/平",2室1厅,72平米,南,简装,底层(共18层),2018年,紫金新干线四区,https://bj.lianjia.com/ershoufang/101133734086.html
bj,全市,西山艺境 电梯联排 简单装修未居住 随时可看,990,"27,513元/平",5室3厅,359.83平米,南 北,简装,3层,板楼,西山艺境华墅,https://bj.lianjia.com/ershoufang/101130637758.html
bj,全市,樱花苑 1室2厅 南,206,"36,185元/平",1室2厅,56.93平米,南,精装,中楼层(共28层),2019年,樱花苑,https://bj.lianjia.com/ershoufang/101132526969.html
bj,全市,首创新悦都一区 全明格局，精装修 有钥匙，领包入住,258,"29,189元/平",3室1厅,88.39平米,南 北 西,其他,中楼层(共17层),板楼,首创新悦都一区,https://bj.lianjia.com/ershoufang/101134076393.html
bj,全市,团结湖路 2室1厅 南 北,264,"54,546元/平",2室1厅,48.4平米,南 北,精装,中楼层(共5层),板楼,团结湖路,https://bj.lianjia.com/ershoufang/101133363585.html
bj,全市,金福家园 商品房 高楼层无遮挡 东南  6号线传媒,199,"32,443元/平",1室1厅,61.34平米,东南,其他,高楼层(共18层),2000年,金福家园,https://bj.lianjia.com/ershoufang/101134239300.html
bj,全市,于家园二区南院    大两居室  看房子有钥匙,130,"17,741元/平",2室1厅,73.28平米,南 北,简装,中楼层(共6层),1998年,于家园二区南院,https://bj.lianjia.com/ershoufang/101124296948.html
bj,全市,京奥港枫泉花园   精装修 明厨明卫  次新房,193,"25,879元/平",2室1厅,74.58平米,南 北,其他,低楼层(共16层),2017年,京奥港枫泉花园,https://bj.lianjia.com/ershoufang/101134237140.html
bj,全市,绿地·京西景园 1室1厅 南,95,"18,646元/平",1室1厅,50.95平米,南,精装,中楼层(共28层),2017年,绿地·京西景园,https://bj.lianjia.com/ershoufang/101131222424.html
bj,全市,民族大学西路60号院 精装修两居 可以拎包入住,699,"85,006元/平",2室1厅,82.23平米,西南,精装,高楼层(共18层),板塔结合,民族大学西路60号院,https://bj.lianjia.com/ershoufang/101133057242.html
bj,全市,六场宿舍 满五年唯一 南北通透 小区改造过,188,"30,911元/平",2室1厅,60.82平米,北 南,简装,高楼层(共6层),1984年,六场宿舍,https://bj.lianjia.com/ershoufang/101134352470.html
bj,全市,知本时代 海淀产权带电梯 落地窗,195,"47,631元/平",1室1厅,40.94平米,北,精装,高楼层(共18层),2004年,知本时代,https://bj.lianjia.com/ershoufang/101132939429.html
bj,全市,通透，精装修，拎包即住，管理好,868,"72,966元/平",2室2厅,118.96平米,南 北,精装,顶层(共12层),2003年,怡景园,https://bj.lianjia.com/ershoufang/101132357700.html
bj,全市,满五唯一带电梯的两居室，不临街不遮挡,439,"61,459元/平",2室1厅,71.43平米,东南,简装,低楼层(共16层),1988年,樱花园,https://bj.lianjia.com/ershoufang/101134198350.html
bj,全市,菜园北里 2室2厅 东 西,348,"71,901元/平",2室2厅,48.4平米,东 西,其他,中楼层(共5层),1980年,菜园北里,https://bj.lianjia.com/ershoufang/101127833252.html
bj,全市,京旺家园一居室，看房随时，诚意出售,160,"26,824元/平",1室1厅,59.65平米,南,简装,底层(共11层),板楼,京旺家园,https://bj.lianjia.com/ershoufang/101127148389.html
bj,全市,老旧小区精装好房！近地铁16号线，海淀客群优选。,200,"36,887元/平",2室1厅,54.22平米,南 北,精装,中楼层(共6层),板楼,南开西里,https://bj.lianjia.com/ershoufang/101130891689.html
bj,全市,京旺家园一居室，看房随时，诚意出售,160,"26,824元/平",1室1厅,59.65平米,南,简装,底层(共11层),板楼,京旺家园,https://bj.lianjia.com/ershoufang/101127148389.html
bj,全市,通透，精装修，拎包即住，管理好,868,"72,966元/平",2室2厅,118.96平米,南 北,精装,顶层(共12层),2003年,怡景园,https://bj.lianjia.com/ershoufang/101132357700.html
bj,全市,老旧小区精装好房！近地铁16号线，海淀客群优选。,200,"36,887元/平",2室1厅,54.22平米,南 北,精装,中楼层(共6层),板楼,南开西里,https://bj.lianjia.com/ershoufang/101130891689.html
bj,全市,六场宿舍 满五年唯一 南北通透 小区改造过,188,"30,911元/平",2室1厅,60.82平米,北 南,简装,高楼层(共6层),1984年,六场宿舍,https://bj.lianjia.com/ershoufang/101134352470.html
bj,全市,冯村信园小区南北两居室采光视野好,160,"20,061元/平",2室1厅,79.76平米,南 北,简装,高楼层(共6层),板楼,冯村信园小区,https://bj.lianjia.com/ershoufang/101134102278.html
bj,全市,一层带商补协议南北通透两居室，客厅可以直接出去,285,"32,684元/平",2室1厅,87.2平米,南 北,其他,底层(共7层),2001年,天通苑东一区,https://bj.lianjia.com/ershoufang/101133583459.html
bj,全市,知本时代 海淀产权带电梯 落地窗,195,"47,631元/平",1室1厅,40.94平米,北,精装,高楼层(共18层),2004年,知本时代,https://bj.lianjia.com/ershoufang/101132939429.html
bj,全市,民族大学西路60号院 精装修两居 可以拎包入住,699,"85,006元/平",2室1厅,82.23平米,西南,精装,高楼层(共18层),板塔结合,民族大学西路60号院,https://bj.lianjia.com/ershoufang/101133057242.html
bj,全市,长椿街 2004年商品房社区 满五唯一 三面采光,998,"106,738元/平",2室1厅,93.5平米,东 北 西,精装,中楼层(共14层),2004年,相来家园,https://bj.lianjia.com/ershoufang/101133672265.html
bj,全市,新源西里中街  带电梯两居  满五年,268,"45,680元/平",2室1厅,58.67平米,东,其他,中楼层(共22层),塔楼,新源西里中街,https://bj.lianjia.com/ershoufang/101133965075.html
bj,全市,橡树湾一期  满五唯一 位置安静 采光充足 诚意卖,798,"90,007元/平",2室1厅,88.66平米,西南,其他,中楼层(共16层),2007年,橡树湾一期,https://bj.lianjia.com/ershoufang/101131816671.html
bj,全市,满五年 电梯入户 精装修，看房方便诚心出售,229,"30,006元/平",2室2厅,76.32平米,西 北,精装,中楼层(共14层),2018年,翡翠公园一期,https://bj.lianjia.com/ershoufang/101133456146.html
bj,全市,稻香园 南北通透全明两居室 满五唯一,490,"82,506元/平",2室1厅,59.39平米,南 北,精装,中楼层(共6层),板楼,稻香园,https://bj.lianjia.com/ershoufang/101133940828.html
bj,全市,业主诚心出售价格可以谈 看房有钥匙,225,"27,837元/平",2室1厅,80.83平米,南 北,简装,低楼层(共15层),2011年,金泽家园A区,https://bj.lianjia.com/ershoufang/101133770297.html
bj,全市,京贸国际公馆东区 精装电梯三居 南北通透 满两年,405,"43,903元/平",3室1厅,92.25平米,北 南,精装,中楼层(共27层),2015年,京贸国际公馆东区,https://bj.lianjia.com/ershoufang/101132663246.html
bj,全市,四环边 2015年小区 电梯房 交通方便 配套齐全,399,"41,352元/平",2室1厅,96.49平米,南 北,精装,中楼层(共20层),2014年,四合欣园,https://bj.lianjia.com/ershoufang/101127867399.html
bj,全市,华瀚福园D区 1室1厅 南,145,"27,159元/平",1室1厅,53.39平米,南,精装,中楼层(共18层),板楼,华瀚福园D区,https://bj.lianjia.com/ershoufang/101128157199.html
bj,全市,红山郡 3室1厅 南 北,237,"27,349元/平",3室1厅,86.66平米,南 北,精装,高楼层(共18层),2017年,红山郡,https://bj.lianjia.com/ershoufang/101134052098.html
bj,全市,金汉绿港纯南两居室，满五年唯一，中高楼层，不临街,259,"29,706元/平",2室1厅,87.19平米,南,精装,20层,2013年,金汉绿港五区,https://bj.lianjia.com/ershoufang/101133748794.html
bj,全市,顺鑫澜庭装修好房 随时看 随时签约,128,"14,884元/平",2室1厅,86平米,南 北,简装,中楼层(共6层),2007年,顺鑫澜庭,https://bj.lianjia.com/ershoufang/101134257141.html
bj,全市,铜厂子胡同 2室1厅 南 北,436,"87,745元/平",2室1厅,49.69平米,南 北,精装,中楼层(共5层),板楼,铜厂子胡同,https://bj.lianjia.com/ershoufang/101132773620.html
bj,全市,西山甲一号，南向一居室，采光无遮挡,195,"32,168元/平",1室1厅,60.62平米,南,其他,中楼层(共18层),板楼,西山甲一号,https://bj.lianjia.com/ershoufang/101133710419.html
bj,全市,高楼层，南北通透，视野开阔，全新精装修，采光充足,610,"57,980元/平",2室1厅,105.21平米,南 北,精装,高楼层(共18层),2005年,泰华滨河苑,https://bj.lianjia.com/ershoufang/101134246270.html
bj,全市,金兴苑 2室1厅 西 北,230,"38,598元/平",2室1厅,59.59平米,西 北,简装,30层,2006年,金兴苑,https://bj.lianjia.com/ershoufang/101133761882.html
bj,全市,双裕小区小两居，满五年唯一，免费停车,121,"20,505元/平",1室1厅,59.01平米,南 北,简装,顶层(共5层),1994年,双裕小区,https://bj.lianjia.com/ershoufang/101133674735.html
bj,全市,双阳台 采光好 南北通透 业主诚心,218,"24,636元/平",2室1厅,88.49平米,南 北,精装,中楼层(共10层),2010年,原香小镇一区,https://bj.lianjia.com/ershoufang/101132952718.html
bj,全市,优点社区  东西两居  满五唯一,268,"34,648元/平",2室1厅,77.35平米,东 西,其他,10层,2006年,优点社区,https://bj.lianjia.com/ershoufang/101133982953.html
bj,全市,南北通透双阳台2室2卫带阳台 客厅主卧朝南洋房社区,389,"39,906元/平",2室2厅,97.48平米,南 北,精装,7层,2005年,华龙苑北里,https://bj.lianjia.com/ershoufang/101131349497.html
bj,全市,瑞雪春堂二里 南向两居 位置好楼层高 无抵押随时签,189,"21,125元/平",2室1厅,89.47平米,南,简装,中楼层(共15层),2010年,瑞雪春堂,https://bj.lianjia.com/ershoufang/101133072625.html
bj,全市,长桥园公寓 经典南北向三居 房子交通便利 购物方便,333,"28,199元/平",3室1厅,118.09平米,南 北,简装,中楼层(共12层),2002年,长桥园公寓,https://bj.lianjia.com/ershoufang/101132993614.html
bj,全市,鸿顺园东区两居室，采光充足，视野开阔，南北通透,195,"22,233元/平",2室1厅,87.71平米,南 北,简装,中楼层(共15层),2011年,鸿顺园东区,https://bj.lianjia.com/ershoufang/101134012806.html
bj,全市,崔村二里双卧朝南两居中间楼层上下楼方便,99,"19,344元/平",2室1厅,51.18平米,南,其他,中楼层(共5层),板楼,崔村二里,https://bj.lianjia.com/ershoufang/101134121052.html
bj,全市,朝阳公园西里北区 3室1厅 南 北,360,"48,323元/平",3室1厅,74.5平米,南 北,简装,高楼层(共6层),1993年,朝阳公园西里北区,https://bj.lianjia.com/ershoufang/101131390795.html
bj,全市,京品小区 地铁8号线 南北通透 户型好 无浪费,385,"45,215元/平",2室1厅,85.15平米,南 北,精装,6层,2005年,京品小区,https://bj.lianjia.com/ershoufang/101132761626.html
bj,全市,安宁里 2室1厅 南 北,285,"42,922元/平",2室1厅,66.4平米,南 北,简装,中楼层(共6层),1998年,安宁里,https://bj.lianjia.com/ershoufang/101134260736.html
bj,全市,皂君东里 2室1厅 东 西,350,"60,241元/平",2室1厅,58.1平米,东 西,简装,中楼层(共6层),1988年,皂君东里,https://bj.lianjia.com/ershoufang/101132713137.html
bj,全市,一层，精装修，拎包入住，看房有钥匙，随时看，近公园,580,"43,867元/平",3室1厅,132.22平米,南 北,精装,6层,板楼,龙腾苑二区,https://bj.lianjia.com/ershoufang/101133356588.html
bj,全市,金隅滨和园2号院精装修一居室,102,"17,774元/平",1室1厅,57.39平米,南,精装,中楼层(共31层),2014年,金隅滨和园2号院,https://bj.lianjia.com/ershoufang/101133354632.html
bj,全市,永定路57号院，精装修，南北通透两居室,325,"59,524元/平",2室1厅,54.6平米,南 北,精装,高楼层(共6层),板楼,永定路57号院,https://bj.lianjia.com/ershoufang/101132850849.html
bj,全市,东方太阳城顶层大三居，高尔夫景观,450,"25,525元/平",3室2厅,176.3平米,南 北,精装,顶层(共6层),2010年,东方太阳城,https://bj.lianjia.com/ershoufang/101133344776.html
bj,全市,西城区 二环 16号线 08年小区 考拉社区,299,"66,268元/平",1室1厅,45.12平米,西,简装,低楼层(共21层),塔楼,信德园二期（考拉社区）,https://bj.lianjia.com/ershoufang/101129789509.html
bj,全市,满五唯一商品房 南北通透户型 中间楼层 诚心卖,193,"25,432元/平",2室1厅,75.89平米,南 北,简装,中楼层(共28层),2014年,华远铭悦园,https://bj.lianjia.com/ershoufang/101133074576.html
bj,全市,小高层三居室 友谊医院附近 中间层采光好 电梯洋房,245,"26,062元/平",3室1厅,94.01平米,东 西,简装,中楼层(共10层),2013年,珠江丽景家园,https://bj.lianjia.com/ershoufang/101134022169.html
bj,全市,东南向两居室 大客厅 采光好 近地铁,498,"52,895元/平",2室1厅,94.15平米,东南,精装,中楼层(共26层),2001年,安慧北里逸园,https://bj.lianjia.com/ershoufang/101133348130.html
bj,全市,珠江国际城八区 精装修满五年唯一 拎包入住,649,"52,812元/平",3室2厅,122.89平米,南 北,精装,底层(共8层),板楼,珠江国际城八区,https://bj.lianjia.com/ershoufang/101133495007.html
bj,全市,强佑清河新城府学上院 1室0厅 南,270,"57,472元/平",1室0厅,46.98平米,南,简装,低楼层(共14层),2021年,强佑清河新城府学上院,https://bj.lianjia.com/ershoufang/101128927088.html
bj,全市,雅善园 南向两居室 业主诚心出售,108,"13,438元/平",2室1厅,80.37平米,南,其他,高楼层(共15层),板楼,雅善园,https://bj.lianjia.com/ershoufang/101133206464.html
bj,全市,龙湖滟澜新宸东区 3室1厅 南 北,298,"31,428元/平",3室1厅,94.82平米,南 北,简装,高楼层(共13层),板楼,龙湖滟澜新宸东区,https://bj.lianjia.com/ershoufang/101124995140.html
bj,全市,世纪城总价特低一居室 户型方正 有钥匙 不临街安静,415,"65,957元/平",1室1厅,62.92平米,东南,简装,底层(共11层),2003年,烟树园,https://bj.lianjia.com/ershoufang/101133085784.html
bj,全市,旺龙花园中高层，近地铁，南北通透的两居室,268,"25,148元/平",2室1厅,106.57平米,南 北,精装,高楼层(共6层),2004年,旺龙花园,https://bj.lianjia.com/ershoufang/101131445569.html
bj,全市,杏花西里，南北向，采光好，户型通透，只有契税,51,"8,861元/平",2室1厅,57.56平米,南 北,简装,高楼层(共6层),板楼,杏花西里,https://bj.lianjia.com/ershoufang/101130751902.html
bj,全市,丰台新宫，阳光星苑北区，满五唯一，带电梯，楼龄新,218,"33,242元/平",2室1厅,65.58平米,南 北,简装,低楼层(共16层),2014年,阳光星苑北区,https://bj.lianjia.com/ershoufang/101132641387.html
bj,全市,此房是满五年，家庭唯一的，可以贷款，精装修的，可以,85,"15,410元/平",1室1厅,55.16平米,南,精装,中楼层(共12层),板楼,滨河馨居,https://bj.lianjia.com/ershoufang/101134089772.html
bj,全市,东四环小而美的社区 优质两居 眼镜户型 地铁好房,345,"42,720元/平",2室1厅,80.76平米,东,简装,高楼层(共21层),塔楼,迎曦园,https://bj.lianjia.com/ershoufang/101134354793.html
bj,全市,金荣园南北通透两居室，满五唯一，诚心出售。,146,"22,216元/平",2室1厅,65.72平米,南 北,其他,低楼层(共6层),板楼,金荣园,https://bj.lianjia.com/ershoufang/101130878405.html
bj,全市,玉竹园  大学城地铁站 诚心出售,163,"19,554元/平",2室1厅,83.36平米,南 北,精装,中楼层(共6层),板楼,玉竹园,https://bj.lianjia.com/ershoufang/101131341961.html
bj,全市,德胜里一区 南北两居室 包包用完了 诚心卖,680,"124,771元/平",2室1厅,54.5平米,南 北,精装,顶层(共5层),1980年,德胜里一区,https://bj.lianjia.com/ershoufang/101129004546.html
bj,全市,绿地花都苑满五唯一南北通透两居室中高楼层采光好,178,"20,311元/平",2室1厅,87.64平米,南 北,简装,中楼层(共14层),2012年,绿地花都苑,https://bj.lianjia.com/ershoufang/101133225818.html
bj,全市,首创悦溪汇业主诚意出售 电梯两居室 满五年唯一,135,"17,615元/平",2室2厅,76.64平米,南 北,简装,中楼层(共8层),板塔结合,首创悦溪汇,https://bj.lianjia.com/ershoufang/101131535764.html
bj,全市,禾香雅园二期三居双卫大三居全明格局好楼层看房方便,299,"26,538元/平",3室1厅,112.67平米,南 北,精装,高楼层(共11层),板楼,禾香雅园二期,https://bj.lianjia.com/ershoufang/101131061508.html
bj,全市,康家园 全南两居 按满五唯一商品房售,339,"40,362元/平",2室1厅,83.99平米,南,简装,中楼层(共18层),塔楼,康家园,https://bj.lianjia.com/ershoufang/101134334205.html
